14123523452345 13045674831 200 400 200
14123523452346 13198765432 150 350 200
14123523452347 13245678901 180 420 200
14123523452348 13312345678 220 500 200
14123523452349 13456789012 190 380 200
14123523452350 13567890123 210 450 200
14123523452351 13678901234 170 360 200
14123523452352 13789012345 230 520 200
14123523452353 13890123456 160 340 200
14123523452354 13901234567 240 550 200
14123523452355 15012345678 250 600 200
14123523452356 15123456789 140 320 200
14123523452357 15234567890 260 650 200
14123523452358 15345678901 130 300 200
14123523452359 15456789012 270 700 200
14123523452360 15567890123 120 280 200
14123523452361 15678901234 280 750 200
14123523452362 15789012345 110 260 200
14123523452363 15890123456 290 800 200
14123523452364 15901234567 100 240 200
14123523452365 16012345678 300 850 200
14123523452366 16123456789 90 220 200
14123523452367 16234567890 310 900 200
14123523452368 16345678901 80 200 200
14123523452369 16456789012 320 950 200
